question,label
일정 울리다 산책 하다 이천이십육년 오월 삼일,O S-Action S-Subject S-Subject S-Date S-Date S-Date
닷새 뒤 빨래 하다 일정 때리다,S-Date S-Date S-Subject S-Subject O S-Action
때리다 문예창작 수업 13일,S-Action S-Subject S-Subject S-Date
짜다 학교 가기 삼십일 부터 1일 까지 22시 삼분,S-Action S-Subject S-Subject S-Date S-Date S-Date S-Date S-Time S-Time
페인 팅 일정 넣다,S-Subject S-Subject O S-Action
일정 연어 먹기 잡다 금일 후,O S-Subject S-Subject S-Action S-Date S-Date
일정 정해 문 예 창작 수업 이천이십구년 십월 15일,O S-Action S-Subject S-Subject S-Subject S-Subject S-Date S-Date S-Date
춤추러 가기 응답하다,S-Subject S-Subject S-Action
지정해주다,S-Action
월요일 토요일 일요일 요가 하다 일정 짜다,S-Date S-Date S-Date S-Subject S-Subject O S-Action
다다음 달 넷째 주 일정 넣다 페인 팅,S-Date S-Date S-Date S-Date O S-Action S-Subject S-Subject
다음 주 말해주다 도자기 굽다,S-Date S-Date S-Action S-Subject S-Subject
일정 짜다 서핑 구월 넷째 주,O S-Action S-Subject S-Date S-Date S-Date
청소 하다 일정 실행하다,S-Subject S-Subject O S-Action
다음 달 넷째 주 일정 말해주다,S-Date S-Date S-Date S-Date O S-Action
추가하다 채소 물 주기,S-Action S-Subject S-Subject S-Subject
울리다 먹이 주기 이천이십칠년 칠월 27일,S-Action S-Subject S-Subject S-Date S-Date S-Date
일정 맞추다 연어 먹기 십일,O S-Action S-Subject S-Subject S-Date
토요일 일정 추가하다 요리 하기,S-Date O S-Action S-Subject S-Subject
때리다 낚시 하기,S-Action S-Subject S-Subject
여행가기 넣다 까지 다음 주,S-Subject S-Action S-Date S-Date S-Date
일정 설정하다 삼십일,O S-Action S-Date
9일 뒤 1시 잡다,S-Date S-Date S-Time S-Action
시내 가기 말해주다 다다음 주,S-Subject S-Subject S-Action S-Date S-Date
올리다,S-Action
금요일 19시 실행하다 간식 주기,S-Date S-Time S-Action S-Subject S-Subject
노래 부르다 가기 일정 지정해주다 목요일 일요일,S-Subject S-Subject S-Subject O S-Action S-Date S-Date
일정 산책 하다 알다 목요일,O S-Subject S-Subject S-Action S-Date
화요일 일정 올리다 간식 주기,S-Date O S-Action S-Subject S-Subject
2월 넷째 주 설정하다,S-Date S-Date S-Date S-Action
일정 사냥 가기 등록하다,O S-Subject S-Subject S-Action
까지 다다음 주 일정 추가하다,S-Date S-Date S-Date O S-Action
출근하기 맞추다 2029년 12월 20일,S-Subject S-Action S-Date S-Date S-Date
요가 하다 지정해주다,S-Subject S-Subject S-Action
일정 등록하다 주유 하기 화요일 토요일,O S-Action S-Subject S-Subject S-Date S-Date
밥 먹기 일정 설정하다 이천삼십년 9월 6일,S-Subject S-Subject O S-Action S-Date S-Date S-Date
실행하다 한강 가기,S-Action S-Subject S-Subject
수영 일정 실행하다,S-Subject O S-Action
설정하다,S-Action
추가하다 둘째 주,S-Action S-Date S-Date
다다음 달 마지막 주 빨래하기 일정 울리다,S-Date S-Date S-Date S-Date S-Subject O S-Action
다다음 주 화요일 잡다 관찰 하다,S-Date S-Date S-Date S-Action S-Subject S-Subject
잡다 해외여행,S-Action S-Subject
일정 정해 주유 하기 다음 주 월요일 수요일 토요일,O S-Action S-Subject S-Subject S-Date S-Date S-Date S-Date S-Date
일정 응답하다 다다음 달 셋째 주,O S-Action S-Date S-Date S-Date S-Date
이십육일 일정 마라톤 참가 하다 맞추다,S-Date O S-Subject S-Subject S-Subject S-Action
세포 밥 주기 짜다,S-Subject S-Subject S-Subject S-Action
주유 하다 지정해주다,S-Subject S-Subject S-Action
일정 울리다,O S-Action
일정 게임하기 올리다,O S-Subject S-Action
노래 알다 까지 다음 주,S-Subject S-Action S-Date S-Date S-Date
일정 청소 하다 짜다,O S-Subject S-Subject S-Action
일정 알다 치과 가기 십구일 후 11시,O S-Action S-Subject S-Subject S-Date S-Date S-Time
마지막 주 까지 관찰하기 등록하다,S-Date S-Date S-Date S-Subject S-Action
일정 올리다 마라톤 참가하기,O S-Action S-Subject S-Subject
학교 가기 맞추다 토요일 6시 41분,S-Subject S-Subject S-Action S-Date S-Time S-Time
헬스장 가기 설정하다 셋째 주,S-Subject S-Subject S-Action S-Date S-Date
울리다 술 마시기,S-Action S-Subject S-Subject
월요일 목요일 일정 넣다,S-Date S-Date O S-Action
2026년 사월 4일 일정 넣다 전구 교체하기,S-Date S-Date S-Date O S-Action S-Subject S-Subject
채소 물 주기 일정 짜다 첫째 주,S-Subject S-Subject S-Subject O S-Action S-Date S-Date
가구 만들기 실행하다 다음 주,S-Subject S-Subject S-Action S-Date S-Date
일정 잡다 관찰 하다 다음 달 마지막 주,O S-Action S-Subject S-Subject S-Date S-Date S-Date S-Date
삼월 넷째 주 맞추다 파티 하다,S-Date S-Date S-Date S-Action S-Subject S-Subject
일정 여행 가기 실행하다 목요일 부터 토요일 까지,O S-Subject S-Subject S-Action S-Date S-Date S-Date S-Date
짜다 모임 가기,S-Action S-Subject S-Subject
일정 말해주다 셋째 주,O S-Action S-Date S-Date
육월 넷째 주 짜다 주유 하다,S-Date S-Date S-Date S-Action S-Subject S-Subject
일정 추가하다,O S-Action
설정하다 채소 물 주기 화요일 수요일 토요일 저녁 일곱시,S-Action S-Subject S-Subject S-Subject S-Date S-Date S-Date S-Time S-Time
정해 채소 물주기 화요일 이십삼시 59분에,S-Action S-Subject S-Subject S-Date S-Time S-Time
명상 하기 일정 정해,S-Subject S-Subject O S-Action
퇴근 일정 설정하다 금요일 토요일,S-Subject O S-Action S-Date S-Date
이십사일 게임 하다 일정 넣다,S-Date S-Subject S-Subject O S-Action
일정 울리다 치과 가기 2029년 6월 7일 까지,O S-Action S-Subject S-Subject S-Date S-Date S-Date S-Date
올리다 다다음 주 수요일 금요일,S-Action S-Date S-Date S-Date S-Date
일정 해외여행 알다,O S-Subject S-Action
일정 설정하다,O S-Action
일정 넣다 인테리어 넷째 주,O S-Action S-Subject S-Date S-Date
2024년 구월 일일 일정 연어 먹기 때리다,S-Date S-Date S-Date O S-Subject S-Subject S-Action
까지 다음 주 올리다 장 보기,S-Date S-Date S-Date S-Action S-Subject S-Subject
설정하다 에버랜드 가기 2022년 6월 이십일일,S-Action S-Subject S-Subject S-Date S-Date S-Date
19일 뒤 추가하다,S-Date S-Date S-Action
물 마시기 지정해주다 다음 달,S-Subject S-Subject S-Action S-Date S-Date
잡다 22일 후 이십이시,S-Action S-Date S-Date S-Time
장보기 일정 지정해주다,S-Subject O S-Action
화요일 토요일 두시 채소 물주기 일정 짜다,S-Date S-Date S-Time S-Subject S-Subject O S-Action
설정하다 구월 27일,S-Action S-Date S-Date
알다 공부 하다 육월 셋째 주 부터 마지막 까지,S-Action S-Subject S-Subject S-Date S-Date S-Date S-Date S-Date S-Date
까지 다다음 주 피시방 가기 말해주다,S-Date S-Date S-Date S-Subject S-Subject S-Action
알다 7일 밤 한시,S-Action S-Date S-Time S-Time
일정 지정해주다 1월 21일 부터 2월 15일 까지,O S-Action S-Date S-Date S-Date S-Date S-Date S-Date
마지막 주 노래 부르다 가기 맞추다,S-Date S-Date S-Subject S-Subject S-Subject S-Action
관찰하기 일정 넣다 다음 주 목요일,S-Subject O S-Action S-Date S-Date S-Date
경마 올리다 목요일 토요일 14시,S-Subject S-Action S-Date S-Date S-Time
이십육일 자정 11분 전 꽃 돌보다 알다,S-Date S-Time S-Time S-Time S-Subject S-Subject S-Action
넣다 경마 금일 후 열일곱시 사십팔분쯤,S-Action S-Subject S-Date S-Date S-Time S-Time
일정 울리다 구월 16일,O S-Action S-Date S-Date
일정 노래 부르러 가기 올리다,O S-Subject S-Subject S-Subject S-Action
정해 작곡 오늘,S-Action S-Subject S-Date
일정 짜다,O S-Action
일정 실행하다 넷째 주,O S-Action S-Date S-Date
2월 십칠일 까지 게임하기 설정하다,S-Date S-Date S-Date S-Subject S-Action
다음 주 일정 세포 밥 주기 알다,S-Date S-Date O S-Subject S-Subject S-Subject S-Action
다다음 주 운동하러 가기 응답하다,S-Date S-Date S-Subject S-Subject S-Action
일정 맞추다 육월 마지막 주,O S-Action S-Date S-Date S-Date
때리다 마지막 주,S-Action S-Date S-Date
일정 추가하다 화요일 목요일 금요일,O S-Action S-Date S-Date S-Date
실행하다 이천이십이년 1월 24일,S-Action S-Date S-Date S-Date
실행하다 요가 하다 까지 다다음 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
2029년 십일월 24일 래프팅 맞추다,S-Date S-Date S-Date S-Subject S-Action
일일 후 15시 4분에 드로잉 수업 올리다,S-Date S-Date S-Time S-Time S-Subject S-Subject S-Action
맥주 먹기 일정 알다 삼개월 뒤,S-Subject S-Subject O S-Action S-Date S-Date
삼월 육일 일정 세포 밥 주기 넣다,S-Date S-Date O S-Subject S-Subject S-Subject S-Action
3월 셋째 주 맞추다,S-Date S-Date S-Date S-Action
다다음 달 일정 게임 하다 실행하다,S-Date S-Date O S-Subject S-Subject S-Action
청소 하다 때리다 십일개월 후,S-Subject S-Subject S-Action S-Date S-Date
응답하다 육월 30일 까지,S-Action S-Date S-Date S-Date
글피 일정 사진 찍다 가기 말해주다,S-Date O S-Subject S-Subject S-Subject S-Action
이십오일 후 수영 말해주다,S-Date S-Date S-Subject S-Action
학교 가기 일정 지정해주다,S-Subject S-Subject O S-Action
밥 먹기 잡다,S-Subject S-Subject S-Action
화요일 토요일 올리다,S-Date S-Date S-Action
일정 학교 가기 올리다 토요일 까지 자정 30분 후,O S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time S-Time
일정 청소하기 응답하다,O S-Subject S-Action
월요일 수요일 목요일 22시 일정 낚시 하기 등록하다,S-Date S-Date S-Date S-Time O S-Subject S-Subject S-Action
다음 달 둘째 주 문 예 창작 수업 실행하다,S-Date S-Date S-Date S-Date S-Subject S-Subject S-Subject S-Subject S-Action
일정 말해주다,O S-Action
여행 가기 설정하다,S-Subject S-Subject S-Action
월요일 토요일 카페 가기 일정 등록하다,S-Date S-Date S-Subject S-Subject O S-Action
지정해주다 간식 주기 일요일 아홉시,S-Action S-Subject S-Subject S-Date S-Time
청소 하다 지정해주다 4일 뒤,S-Subject S-Subject S-Action S-Date S-Date
요가 하다 울리다,S-Subject S-Subject S-Action
9월 둘째 주 응답하다 사진 찍다 가기,S-Date S-Date S-Date S-Action S-Subject S-Subject S-Subject
일정 요가 하다 때리다,O S-Subject S-Subject S-Action
지정해주다 마라톤 참가 하다 일요일 부터 금요일 까지,S-Action S-Subject S-Subject S-Subject S-Date S-Date S-Date S-Date
일요일 이십시 일정 등록하다,S-Date S-Time O S-Action
응답하다 10일 뒤 열한시 오십팔분에,S-Action S-Date S-Date S-Time S-Time
12일 후 파티하기 잡다,S-Date S-Date S-Subject S-Action
설정하다 첫째 주,S-Action S-Date S-Date
일정 잡다 사진찍으러 가기,O S-Action S-Subject S-Subject
9월 이십오일 일정 식물 에 물 주기 말해주다,S-Date S-Date O S-Subject S-Subject S-Subject S-Subject S-Action
월요일 목요일 저녁 7시 16분 일정 설정하다 헬스장 가기,S-Date S-Date S-Time S-Time S-Time O S-Action S-Subject S-Subject
산책하기 올리다 넷째 주 부터 셋째 까지,S-Subject S-Action S-Date S-Date S-Date S-Date S-Date
화요일 금요일 토요일 일요일 정오 1분 후 일정 지정해주다 출근 하다,S-Date S-Date S-Date S-Date S-Time S-Time S-Time O S-Action S-Subject S-Subject
말해주다 에버랜드 가기 사월 마지막 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
둘째 주 울리다 출근 하다,S-Date S-Date S-Action S-Subject S-Subject
일정 때리다 여행가기 수요일 열네시 49분에,O S-Action S-Subject S-Date S-Time S-Time
때리다 전구 교체하기 8월 둘째 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
일정 설정하다 스키 타기 23일 후,O S-Action S-Subject S-Subject S-Date S-Date
셋째 주 장 보기 일정 설정하다,S-Date S-Date S-Subject S-Subject O S-Action
게임하기 일정 응답하다,S-Subject O S-Action
청소 하다 추가하다 넷째 주 까지,S-Subject S-Subject S-Action S-Date S-Date S-Date
다다음 달 셋째 주 정리 하다 때리다,S-Date S-Date S-Date S-Date S-Subject S-Subject S-Action
일정 맞추다,O S-Action
추가하다 사진찍으러 가기,S-Action S-Subject S-Subject
응답하다,S-Action
월요일 수요일 목요일 트위터 업데이트 올리다,S-Date S-Date S-Date S-Subject S-Subject S-Action
일정 응답하다 목요일,O S-Action S-Date
목요일 금요일 산책 하다 일정 울리다,S-Date S-Date S-Subject S-Subject O S-Action
일월 셋째 주 독서 하다 등록하다,S-Date S-Date S-Date S-Subject S-Subject S-Action
일정 맞추다 다다음 달,O S-Action S-Date S-Date
작곡 일정 정해,S-Subject O S-Action
11월 십이일 까지 설정하다,S-Date S-Date S-Date S-Action
목공 일정 추가하다 다다음 주 월요일,S-Subject O S-Action S-Date S-Date S-Date
청소 하다 일정 정해,S-Subject S-Subject O S-Action
일정 수영 넣다,O S-Subject S-Action
산책 하다 실행하다,S-Subject S-Subject S-Action
말해주다,S-Action
사진찍으러 가기 맞추다 사월 둘째 주,S-Subject S-Subject S-Action S-Date S-Date S-Date
맞추다 청소 하다 팔월 셋째 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
부품 사르다 가기 등록하다,S-Subject S-Subject S-Subject S-Action
스키 타다 일정 짜다 마지막 주 까지,S-Subject S-Subject O S-Action S-Date S-Date S-Date
정리 하다 짜다,S-Subject S-Subject S-Action
요리 하기 넣다,S-Subject S-Subject S-Action
스키 타기 때리다,S-Subject S-Subject S-Action
다다음 주 일정 부품 사러 가기 알다,S-Date S-Date O S-Subject S-Subject S-Subject S-Action
문 예 창작 수업 울리다 이천이십삼년 8월 이십이일,S-Subject S-Subject S-Subject S-Subject S-Action S-Date S-Date S-Date
빨래 하다 말해주다 까지 다음 주,S-Subject S-Subject S-Action S-Date S-Date S-Date
9월 둘째 주 일요일 부터 월요일 까지 짜다,S-Date S-Date S-Date S-Date S-Date S-Date S-Date S-Action
2022년 4월 31일 보드 게임 지정해주다,S-Date S-Date S-Date S-Subject S-Subject S-Action
일정 실행하다 삼주일 뒤,O S-Action S-Date S-Date
월차 일정 짜다,S-Subject O S-Action
해외여행 올리다,S-Subject S-Action
문예창작 수업 일정 짜다,S-Subject S-Subject O S-Action
알다 관찰하기,S-Action S-Subject
일정 정리하기 때리다,O S-Subject S-Action
울리다 2027년 오월 5일,S-Action S-Date S-Date S-Date
월요일 까지 설정하다,S-Date S-Date S-Action
일정 만화책 보기 실행하다 팔일 후 18시 사십이분쯤,O S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time
말해주다 장 보기 수요일 금요일 20시,S-Action S-Subject S-Subject S-Date S-Date S-Time
추가하다,S-Action
등록하다,S-Action
목요일 열네시 십구분쯤 맞추다 게임,S-Date S-Time S-Time S-Action S-Subject
요가 하다 말해주다,S-Subject S-Subject S-Action
등록하다 다다음 주,S-Action S-Date S-Date
방어 먹기 말해주다 삼십일,S-Subject S-Subject S-Action S-Date
노래 일정 잡다,S-Subject O S-Action
일정 설정하다 수요일 목요일,O S-Action S-Date S-Date
일정 등록하다 노래 부르러 가기 다음 주,O S-Action S-Subject S-Subject S-Subject S-Date S-Date
금요일 일요일 설정하다 주유 하기,S-Date S-Date S-Action S-Subject S-Subject
사월 삼십일 까지 일정 올리다 등산하러 가기,S-Date S-Date S-Date O S-Action S-Subject S-Subject
등록하다 헬스장 가기,S-Action S-Subject S-Subject
십육일 일정 밥 먹기 추가하다,S-Date O S-Subject S-Subject S-Action
일정 정해 4월 둘째 주 부터 마지막 까지,O S-Action S-Date S-Date S-Date S-Date S-Date S-Date
까지 다다음 주 시내 가기 일정 울리다,S-Date S-Date S-Date S-Subject S-Subject O S-Action
사진 찍다 가기 일정 설정하다 십월 마지막 주 목요일 부터 수요일 까지,S-Subject S-Subject S-Subject O S-Action S-Date S-Date S-Date S-Date S-Date S-Date S-Date
트위터 업데이트 정해 8월 30일 부터 육월 19일 까지,S-Subject S-Subject S-Action S-Date S-Date S-Date S-Date S-Date S-Date
일정 울리다 트위터 업데이트 마지막 주,O S-Action S-Subject S-Subject S-Date S-Date
일정 넣다 일일 뒤,O S-Action S-Date S-Date
다음 달 마지막 주 파티하기 때리다,S-Date S-Date S-Date S-Date S-Subject S-Action
이월 28일 청소하기 때리다,S-Date S-Date S-Subject S-Action
일정 때리다 전구 교체하기 월요일 낮 열한시,O S-Action S-Subject S-Subject S-Date S-Time S-Time
넷째 주 수요일 부터 토요일 까지 휴가 일정 때리다,S-Date S-Date S-Date S-Date S-Date S-Date S-Subject O S-Action
일정 등록하다 이주일 뒤 2시 이십칠분,O S-Action S-Date S-Date S-Time S-Time
십일일 23시 일정 수영 정해,S-Date S-Time O S-Subject S-Action
작곡 올리다,S-Subject S-Action
게임 하다 지정해주다 일일 뒤 14시 사십사분,S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time
까지 다음 주 울리다,S-Date S-Date S-Date S-Action
팔월 마지막 주 일정 카드 놀이 짜다,S-Date S-Date S-Date O S-Subject S-Subject S-Action
일정 말해주다 독서 하다 토요일 까지,O S-Action S-Subject S-Subject S-Date S-Date
화요일 짜다 독서하기,S-Date S-Action S-Subject
10일 까지 게임하기 정해,S-Date S-Date S-Subject S-Action
드로잉 수업 설정하다 이십사일 뒤 23시 오십팔분,S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time
10월 첫째 주 일정 응답하다 물 마시기,S-Date S-Date S-Date O S-Action S-Subject S-Subject
일정 실행하다 엿새 후,O S-Action S-Date S-Date
육개월 후 올리다 옷 사기,S-Date S-Date S-Action S-Subject S-Subject
일정 물 마시기 넣다 7월 십이일,O S-Subject S-Subject S-Action S-Date S-Date
간식 주기 응답하다,S-Subject S-Subject S-Action
회의 짜다,S-Subject S-Action
6월 둘째 주 말해주다,S-Date S-Date S-Date S-Action
11월 오일 정해 스키 타기,S-Date S-Date S-Action S-Subject S-Subject
일정 명상 하다 실행하다 이천이십오년 3월 25일,O S-Subject S-Subject S-Action S-Date S-Date S-Date
십칠일 후 등록하다 공 놀이 하다,S-Date S-Date S-Action S-Subject S-Subject S-Subject
회의 일정 알다,S-Subject O S-Action
잡다 운동하러 가기 2024년 십이월 십이일,S-Action S-Subject S-Subject S-Date S-Date S-Date
래프팅 짜다,S-Subject S-Action
1월 마지막 주 월요일 부터 목요일 까지 일정 정해,S-Date S-Date S-Date S-Date S-Date S-Date S-Date O S-Action
팔일 뒤 일정 넣다 요가 하기,S-Date S-Date O S-Action S-Subject S-Subject
지정해주다 카드 놀이 일월 셋째 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
일정 정해,O S-Action
공부 하다 지정해주다,S-Subject S-Subject S-Action
일정 알다 명상 하다,O S-Action S-Subject S-Subject
일정 학원 가기 알다 다다음 주 월요일 목요일 토요일,O S-Subject S-Subject S-Action S-Date S-Date S-Date S-Date S-Date
줄넘기 하다 넣다 12월 넷째 주 부터 마지막 까지,S-Subject S-Subject S-Action S-Date S-Date S-Date S-Date S-Date S-Date
일정 잡다,O S-Action
칠월 첫째 주 지정해주다,S-Date S-Date S-Date S-Action
일정 빨래하기 넣다,O S-Subject S-Action
8월 둘째 주 넣다 드로잉 수업,S-Date S-Date S-Date S-Action S-Subject S-Subject
요리 하기 말해주다 5월 마지막 주,S-Subject S-Subject S-Action S-Date S-Date S-Date
전구 교체하기 일정 짜다,S-Subject S-Subject O S-Action
헬스장 가기 정해,S-Subject S-Subject S-Action
때리다 보드 게임 까지 다다음 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
일정 빨래하기 울리다,O S-Subject S-Action
삼월 둘째 주 일정 맞추다 운동하러 가기,S-Date S-Date S-Date O S-Action S-Subject S-Subject
꽃 돌보기 등록하다 월요일,S-Subject S-Subject S-Action S-Date
일정 작곡 말해주다 6월 첫째 주,O S-Subject S-Action S-Date S-Date S-Date
마라톤 참가하기 등록하다,S-Subject S-Subject S-Action
일정 과일 사 오기 추가하다,O S-Subject S-Subject S-Subject S-Action
일정 울리다 10월 마지막 주,O S-Action S-Date S-Date S-Date
1일 열여덟시 일정 춤추러 가기 정해,S-Date S-Time O S-Subject S-Subject S-Action
말해주다 십일월 셋째 주,S-Action S-Date S-Date S-Date
꽃 돌보기 맞추다 24일 후,S-Subject S-Subject S-Action S-Date S-Date
일정 스키 타기 추가하다,O S-Subject S-Subject S-Action
일정 잡다 사일 후,O S-Action S-Date S-Date
물 마시기 일정 설정하다,S-Subject S-Subject O S-Action
일정 넣다 휴가 다음 달 첫째 주,O S-Action S-Subject S-Date S-Date S-Date S-Date
정해 사진찍으러 가기,S-Action S-Subject S-Subject
만화책 보기 일정 짜다,S-Subject S-Subject O S-Action
일정 등산하러 가기 등록하다 2026년 십일월 이십사일,O S-Subject S-Subject S-Action S-Date S-Date S-Date
주유 하다 일정 설정하다,S-Subject S-Subject O S-Action
설정하다 까지 다음 주,S-Action S-Date S-Date S-Date
학교 가기 넣다 다다음 주,S-Subject S-Subject S-Action S-Date S-Date
2일 뒤 열일곱시 이십분 청소하기 올리다,S-Date S-Date S-Time S-Time S-Subject S-Action
일정 추가하다 4월 넷째 주,O S-Action S-Date S-Date S-Date
일정 등록하다,O S-Action
수영 정해 십사일 후 한시,S-Subject S-Action S-Date S-Date S-Time
까지 다다음 주 맞추다 공부하기,S-Date S-Date S-Date S-Action S-Subject
빨래 하다 넣다,S-Subject S-Subject S-Action
추가하다 채소 물주기 구월 마지막 주,S-Action S-Subject S-Subject S-Date S-Date S-Date
11월 일일 까지 정해 빨래하기,S-Date S-Date S-Date S-Action S-Subject
맥주 먹기 일정 추가하다 넷째 주,S-Subject S-Subject O S-Action S-Date S-Date
낚시 하다 일정 말해주다 금요일,S-Subject S-Subject O S-Action S-Date
일정 실행하다 29일 4시 59분,O S-Action S-Date S-Time S-Time
여행가기 일정 등록하다 4일 15시 오분쯤,S-Subject O S-Action S-Date S-Time S-Time
잡다 금요일 까지 열여덟시 3분쯤,S-Action S-Date S-Date S-Time S-Time
줄넘기 하기 정해,S-Subject S-Subject S-Action
파티 하다 정해,S-Subject S-Subject S-Action
요가 하기 울리다,S-Subject S-Subject S-Action
공 놀이 하다 지정해주다,S-Subject S-Subject S-Subject S-Action
카약 실행하다,S-Subject S-Action
도자기 굽다 일정 지정해주다 까지 다음 주,S-Subject S-Subject O S-Action S-Date S-Date S-Date
일정 카드 놀이 설정하다 까지 다다음 주,O S-Subject S-Subject S-Action S-Date S-Date S-Date
일정 지정해주다 빨래하기 월요일 부터 까지 자정 24분 전,O S-Action S-Subject S-Date S-Date S-Date S-Time S-Time S-Time
일정 추가하다 월요일 수요일 목요일,O S-Action S-Date S-Date S-Date
